sentence,manual annotation,predicted annotation
තුර්කි ප්‍රශ්නය ද තිබේ .,"[ තුර්කි ARG1 , ප්‍රශ්නය ARG1 , ද ARGM-DIS , තිබේ be.02 , . O ]","[ තුර්කි ARG1 , ප්\u200dරශ්නය ARG1 , ද ARGM-ADV , තිබේ be.02 , . O ]"
ඉතින් අපගේ ඊළඟ පියවර මොනවාද ? ,"[ ඉතින් ARG1 , අපගේ ARG1 , ඊළඟ ARG1 , පියවර ARG1 , මොනවාද ARG2 , ? O  ]",[ ]
පූර්ණ ජාත්‍යන්තර පරීක්ෂණයක් තිබිය යුතුය .,"[ පූර්ණ ARG1 , ජාත්‍යන්තර ARG1 , පරීක්ෂණයක් ARG1 , තිබිය be.02 , යුතුය ARGM-MOD , . O ]","[ පූර්ණ ARG1 , ජාත්\u200dයන්තර ARG1 , පරීක්ෂණයක් ARG1 , තිබිය be.02 , යුතුය ARGM-MOD , . O ]"
අපට අවශ්‍ය වන්නේ විවාදය ඉදිරියට ගෙන යාමයි .,"[ අපට ARG0 , අවශ්‍ය want.01 , වන්නේ want.01 , විවාදය ARG1 , ඉදිරියට ARG1 , ගෙන ARG1 , යාමයි ARG1 , . O ] , [ අපට ARG0 , අවශ්‍ය O , වන්නේ O , විවාදය ARG1 , ඉදිරියට ARGM-DIR , ගෙන move.01 , යාමයි move.01 , . O ]","[ අපට ARG0 , අවශ්\u200dය need.01 , වන්නේ need.01 , විවාදය ARG1 , ඉදිරියට O , ගෙන O , යාමයි O , . O ]"
ශාක ආරක්ෂණ නිෂ්පාදන පිළිබඳ ගැටලුව ගන්න .,"[ ශාක ARG1 , ආරක්ෂණ ARG1 , නිෂ්පාදන ARG1 , පිළිබඳ ARG1 , ගැටලුව ARG1 , ගන්න take.01 , . O ]","[ ශාක ARG1 , ආරක්ෂණ ARG1 , නිෂ්පාදන ARG1 , පිළිබඳ ARG1 , ගැටලුව ARG1 , ගන්න take.01 , . O ]"
"අවාසනාවට , ඇයට අද මෙහි සිටිය නොහැකි විය .","[ අවාසනාවට ARGM-ADV , , O , ඇයට ARG1 , අද ARGM-TMP , මෙහි ARG2 , සිටිය be.01 , නොහැකි ARGM-NEG , විය O , . O ]","[ අවාසනාවට ARGM-ADV , , O , ඇයට ARG0 , අද ARGM-TMP , මෙහි ARG2 , සිටිය be.01 , නොහැකි ARGM-NEG , විය be.01 , . O ]"
මම එසේ කළේ සුළු අකමැත්තෙනි .,"[ මම ARG0 , එසේ ARG1 , කළේ do.01 , සුළු ARGM-MNR , අකමැත්තෙනි ARGM-MNR , . O ]","[ මම O , එසේ O , කළේ do.01 , සුළු O , අකමැත්තෙනි O , . O ]"
වාර්තාකරු පක්ෂව සිටී .,"[ වාර්තාකරු ARG1 , පක්ෂව ARG2 , සිටී be.01 , . O ]","[ වාර්තාකරු ARG2 , පක්ෂව ARG2 , සිටී be.01 , . O ]"
එබැවින් මෙම යෝජනාවෙන් වැළකී සිටීමට මම ඡන්දය දුන්නා .,"[ එබැවින් ARGM-DIS , මෙම ARG1 , යෝජනාවෙන් ARG1 , වැළකී ARG1 , සිටීමට ARG1 , මම ARG0 , ඡන්දය vote.01 , දුන්නා vote.01 , . O ] , [ එබැවින් O , මෙම ARG1 , යෝජනාවෙන් ARG1 , වැළකී abstain.01 , සිටීමට abstain.01 , මම ARG0 , ඡන්දය O , දුන්නා O , . O ]","[ එබැවින් ARGM-DIS , මෙම ARG1 , යෝජනාවෙන් ARG1 , වැළකී O , සිටීමට O , මම ARG0 , ඡන්දය O , දුන්නා vote.01 , . O ]"
මේ සඳහා හේතු කිහිපයක් තිබේ .,"[ මේ ARG1 , සඳහා ARG1 , හේතු ARG1 , කිහිපයක් ARG1 , තිබේ be.02 , . O ]","[ මේ ARG1 , සඳහා ARG1 , හේතු ARG1 , කිහිපයක් ARG1 , තිබේ be.02 , . O ]"
මම හිතන්නේ අපි පශ්චාත් යුධ පිළිවෙලට සූදානම් විය යුතුයි .,"[ මම ARG0 , හිතන්නේ think.01 , අපි ARG1 , පශ්චාත් ARG1 , යුධ ARG1 , පිළිවෙලට ARG1 , සූදානම් ARG1 , විය ARG1 , යුතුයි ARG1 , . O ] , [ මම O , හිතන්නේ O , අපි ARG0 , පශ්චාත් ARG2 , යුධ ARG2 , පිළිවෙලට ARG2 , සූදානම් prepare.02 , විය prepare.02 , යුතුයි ARGM-MOD , . O ]","[ මම ARG0 , හිතන්නේ think.01 , අපි ARG0 , පශ්චාත් ARG1 , යුධ ARG1 , පිළිවෙලට O , සූදානම් O , විය O , යුතුයි O , . O ], [ මම O , හිතන්නේ O , අපි O , පශ්චාත් ARG2 , යුධ ARG2 , පිළිවෙලට ARG2 , සූදානම් ARG2 , විය be.01 , යුතුයි ARGM-MOD , . O ]"
කෙසේ වෙතත් බලශක්ති වෙළඳපොල එකතැන පල්වෙමින් පවතී .,"[ කෙසේ ARGM-DIS , වෙතත් ARGM-DIS , බලශක්ති ARG1 , වෙළඳපොල ARG1 , එකතැන dwindle.01 , පල්වෙමින් dwindle.01 , පවතී dwindle.01 , . O ]","[ කෙසේ ARGM-DIS , වෙතත් O , බලශක්ති ARG1 , වෙළඳපොල ARG1 , එකතැන O , පල්වෙමින් dwindle.01 , පවතී dwindle.01 , . O ]"
එබැවින් එය පොදු ය ; එය ලබා ගත හැකිය .,"[ එබැවින් ARGM-DIS , එය  ARG1 , පොදු ARG2 , ය be.01 , ; O , එය O , ලබා O , ගත O , හැකිය O , . O ] , [ එබැවින් O , එය O , පොදු O , ය O , ; O , එය ARG1 , ලබා ARG2 , ගත ARG2 , හැකිය ARG2 , . O ]","[ එබැවින් ARGM-DIS , එය ARG1 , පොදු ARG2 , ය be.01 , ; O , එය O , ලබා O , ගත O , හැකිය ARGM-MOD , . O ]"
එය ක්‍රියාකාරී බලශක්ති වෙළඳපොලක් නො වේ .,"[ එය O , ක්‍රියාකාරී function.01 , බලශක්ති ARG0 , වෙළඳපොලක් ARG0 , නො O , වේ O , . O ] , [ එය ARG1 , ක්‍රියාකාරී ARG2 , බලශක්ති ARG2 , වෙළඳපොලක් ARG2 , නො ARGM-NEG , වේ be.01 , . O ]","[ එය ARG0 , ක්\u200dරියාකාරී function.01 , බලශක්ති O , වෙළඳපොලක් O , නො O , වේ O , . O ], [ එය ARG1 , ක්\u200dරියාකාරී ARG1 , බලශක්ති ARG1 , වෙළඳපොලක් O , නො ARGM-NEG , වේ be.01 , . O ]"
අපට තවත් බොහෝ අන්තර් සම්බන්ධක සහ අන්තර් සම්බන්ධතා අවශ්‍යයි .,"[ අපට ARG0 , තවත් ARG1 , බොහෝ ARG1 , අන්තර් ARG1 , සම්බන්ධක ARG1 , සහ ARG1 , අන්තර් ARG1 , සම්බන්ධතා ARG1 , අවශ්‍යයි need.01 , . O ]","[ අපට ARG0 , තවත් ARG1 , බොහෝ ARG1 , අන්තර් ARG1 , සම්බන්ධක ARG1 , සහ ARG1 , අන්තර් O , සම්බන්ධතා O , අවශ්\u200dයයි need.01 , . O ]"
එය සැබෑ ගුවන් සේවයේ ආරම්භයයි . ,"[ එය ARG1 , සැබෑ ARG2 , ගුවන් ARG2 , සේවයේ ARG2 , ආරම්භයයි ARG2 , . O  ]",[ ]
අපි සියලු දෙනාම අරමුණට එකඟ වෙමු .,"[ අපි ARG0 , සියලු ARG0 , දෙනාම ARG0 , අරමුණට ARG1 , එකඟ agree.01 , වෙමු agree.01 , . O ]","[ අපි ARG0 , සියලු ARG1 , දෙනාම ARG1 , අරමුණට ARG1 , එකඟ agree.01 , වෙමු agree.01 , . O ]"
අපට මේ ආකාරයට ඉදිරියට යා නොහැක .,"[ අපට ARG1 , මේ ARGM-MNR , ආකාරයට ARGM-MNR , ඉදිරියට go_on.15 , යා go_on.15 , නොහැක O , . O ]","[ අපට ARG0 , මේ ARG0 , ආකාරයට ARG0 , ඉදිරියට O , යා go.02 , නොහැක O , . O ]"
එසේනම් අප යා යුත්තේ කුමන මාර්ගයටද ?,"[ එසේනම් ARGM-DIS , අප ARG0 , යා go.02 , යුත්තේ ARGM-MOD , කුමන ARGM-DIR , මාර්ගයටද ARGM-DIR , ? O ]","[ එසේනම් ARGM-ADV , අප ARG0 , යා go.02 , යුත්තේ ARGM-MOD , කුමන O , මාර්ගයටද O , ? O , . O ]"
ගාසා තීරය ආර්ථික හා දේශපාලනික වශයෙන් ශක්‍ය විය යුතුය .,"[ ගාසා ARG1 , තීරය ARG1 , ආර්ථික ARG2 , හා ARG2 , දේශපාලනික ARG2 , වශයෙන් ARG2 , ශක්‍ය ARG2 , විය become.01 , යුතුය O , . O ] , [ ගාසා ARG0 , තීරය ARG0 , ආර්ථික ARG1 , හා ARG1 , දේශපාලනික ARG1 , වශයෙන් ARG1 , ශක්‍ය ARG1 , විය ARG1 , යුතුය need.01 , . O ]","[ ගාසා O , තීරය O , ආර්ථික O , හා ARG2 , දේශපාලනික ARG2 , වශයෙන් O , ශක්\u200dය ARG1 , විය be.01 , යුතුය ARGM-MOD , . O ]"
මෙවලම් සඳහා අවශ්යතාවයක් ද ඇත . ,"[ මෙවලම් ARG1 , සඳහා ARG1 , අවශ්යතාවයක් ARG1 , ද ARGM-ADV , ඇත be.02 , . O ]","[ මෙවලම් ARG1 , සඳහා ARG1 , අවශ්යතාවයක් O , ද ARGM-ADV , ඇත be.02 , . O ]"
එය කෙතරම් තීරණාත්මකද . ,"[ එය ARG1 , කෙතරම් ARG2 , තීරණාත්මකද ARG2 , . O ] , [ එය ARG2 , කෙතරම් ARG2 , තීරණාත්මකද ARG2 , . O ]",[ ]
මෙම පාර්ලිමේන්තුවේ EPA වලට දුෂ්කර ඉතිහාසයක් ඇත . ,"[ මෙම ARG1 , පාර්ලිමේන්තුවේ ARG1 , EPA ARG0 , වලට ARG1 , දුෂ්කර ARG1 , ඉතිහාසයක් ARG1 , ඇත have.03 , . O ]","[ මෙම ARG1 , පාර්ලිමේන්තුවේ ARG1 , EPA ARG1 , වලට ARG1 , දුෂ්කර ARG1 , ඉතිහාසයක් ARG1 , ඇත have.03 , . O ]"
ඊශ්‍රායලය බෝම්බ හෙලමින් ගිටෝවක් විනාශ කරමින් සිටී .,"[ ඊශ්‍රායලය ARG0 , බෝම්බ bomb.01 , හෙලමින් bomb.01 , ගිටෝවක් ARG1 , විනාශ O , කරමින් O , සිටී O , . O ] , [ ඊශ්‍රායලය ARG0 , බෝම්බ O , හෙලමින් O , ගිටෝවක් ARG1 , විනාශ destroy.01 , කරමින් destroy.01 , සිටී destroy.01 , . O ]","[ ඊශ්\u200dරායලය ARG0 , බෝම්බ bomb.01 , හෙලමින් O , ගිටෝවක් O , විනාශ O , කරමින් O , සිටී O , . O ], [ ඊශ්\u200dරායලය ARG0 , බෝම්බ O , හෙලමින් O , ගිටෝවක් O , විනාශ O , කරමින් O , සිටී be.01 , . O ]"
එයට කළ හැකි කිසිවක් නැත .,"[ එයට ARG0 , කළ do.02 , හැකි ARGM-MOD , කිසිවක් ARG1 , නැත ARG1 , . O ] , [ එයට ARG2 , කළ ARG2 , හැකි ARG2 , කිසිවක් ARG2 , නැත ARG2 , . O ]","[ එයට ARG1 , කළ do.02 , හැකි ARGM-MOD , කිසිවක් ARG1 , නැත O , . O ]"
ඒ නිසා අපි පීඩනය වේගවත් කළ යුතුයි .,"[ ඒ ARGM-DIS , නිසා ARGM-DIS , අපි ARG0 , පීඩනය ARG1 , වේගවත් ARG1 , කළ ARG1 , යුතුයි need.01 , . O ] , [ ඒ O , නිසා O , අපි ARG0 , පීඩනය ARG1 , වේගවත් step_up.03 , කළ step_up.03 , යුතුයි O , . O ]",[ ]
"පෞද්ගලිකව , මම කිසිදු අඩුපාඩුවක් නො දකිමි .","[ පෞද්ගලිකව ARGM-ADV , , O , මම ARG0 , කිසිදු ARG1 , අඩුපාඩුවක් ARG1 , නො ARGM-NEG , දකිමි see.01 , . O ]","[ පෞද්ගලිකව ARGM-ADV , , O , මම ARG0 , කිසිදු ARG1 , අඩුපාඩුවක් ARG2 , නො ARGM-NEG , දකිමි see.01 , . O ]"
"එසේ වුවද , තීරණය දැනටමත් සම්මත කර ඇත .","[ එසේ ARGM-DIS , වුවද ARGM-DIS , , O , තීරණය ARG1 , දැනටමත් ARGM-TMP , සම්මත adopt.01 , කර adopt.01 , ඇත adopt.01 , . O ]","[ එසේ O , වුවද O , , O , තීරණය O , දැනටමත් O , සම්මත O , කර O , ඇත have.01 , . O ]"
මගේ හැඟීම නම් මම මෙය කියවා ඇති බවයි .,"[ මගේ O , හැඟීම O , නම් O , මම ARG0 , මෙය ARG1 , කියවා read.01 , ඇති O , බවයි O , . O ]","[ මගේ ARG1 , හැඟීම ARG1 , නම් O , මම ARG0 , මෙය ARG1 , කියවා read.01 , ඇති O , බවයි ARG1 , . O ], [ මගේ ARG1 , හැඟීම ARG1 , නම් O , මම O , මෙය O , කියවා O , ඇති have.01 , බවයි O , . O ]"
අපි තවත් ජෛව ඉන්ධන නිපදවිය යුතුයි .,"[ අපි ARG0 , තවත් ARG1 , ජෛව ARG1 , ඉන්ධන ARG1 , නිපදවිය develop.02 , යුතුයි O , . O ] , [ අපි ARG0 , තවත් ARG1 , ජෛව ARG1 , ඉන්ධන ARG1 , නිපදවිය ARG1 , යුතුයි need.01 , . O ]",[ ]
මෙම භින්නෝන්මාදය අපට වඩා බෙහෙවින් වැඩි ය .,"[ මෙම ARG1 , භින්නෝන්මාදය ARG1 , අපට ARG2 , වඩා ARG2 , බෙහෙවින් ARG2 , වැඩි ARG2 , ය be.01 , . O ]","[ මෙම ARG1 , භින්නෝන්මාදය O , අපට ARG0 , වඩා O , බෙහෙවින් O , වැඩි O , ය be.01 , . O ]"
ඊළඟ අයිතමය ඡන්දය ප්‍රකාශ කිරීමේ කාලයයි .,"[ ඊළඟ ARG1 , අයිතමය ARG1 , ඡන්දය ARG2 , ප්‍රකාශ ARG2 , කිරීමේ ARG2 , කාලයයි ARG2 , . O ]","[ ඊළඟ ARG1 , අයිතමය ARG1 , ඡන්දය vote.01 , ප්\u200dරකාශ O , කිරීමේ ARG1 , කාලයයි ARG1 , . O ]"
"කෙසේ වෙතත් , අපට එවැනි සැලැස්මක් නොමැත . ","[ කෙසේ ARGM-DIS , වෙතත් ARGM-DIS , , O , අපට ARG0 , එවැනි ARG1 , සැලැස්මක් ARG2 , නොමැත lack.01 , . O  ]",[ ]
කෙටුම්පත් නියෝගයෙන් අපේක්ෂිත දෙයක් ඉතිරි වේ .,"[ කෙටුම්පත් O , නියෝගයෙන් O , අපේක්ෂිත desire.01 , දෙයක් ARG1 , ඉතිරි O , වේ O , . O ] , [ කෙටුම්පත් ARG0 , නියෝගයෙන් ARG0 , අපේක්ෂිත ARG1 , දෙයක් ARG1 , ඉතිරි leave.13 , වේ leave.13 , . O ]","[ කෙටුම්පත් ARG1 , නියෝගයෙන් O , අපේක්ෂිත O , දෙයක් O , ඉතිරි remain.01 , වේ O , . O ]"
දෙවන අංගය තාක්‍ෂණය හා අපනයන සම්බන්ධය . ,"[ දෙවන ARG1 , අංගය ARG1 , තාක්‍ෂණය ARG2 , හා ARG2 , අපනයන ARG2 , සම්බන්ධය relate.01 , . O ]","[ දෙවන ARG1 , අංගය ARG1 , තාක්\u200dෂණය ARG1 , හා ARG1 , අපනයන ARG1 , සම්බන්ධය relate.01 , . O ]"
"අවාසනාවට , මට කිව හැක්කේ එපමණයි .","[ අවාසනාවට O , , O , මට ARG0 , කිව say.01 , හැක්කේ ARGM-MOD , එපමණයි O , . O ] , [ අවාසනාවට ARG-DIS , , O , මට ARG2 , කිව ARG2 , හැක්කේ ARG2 , එපමණයි O , . O ] , [ අවාසනාවට O , , O , මට ARG0 , කිව O , හැක්කේ ARGM-MOD , එපමණයි O , . O ]","[ අවාසනාවට ARGM-ADV , , O , මට ARG0 , කිව say.01 , හැක්කේ ARGM-MOD , එපමණයි O , . O ]"
එහි ප්‍රතිවිපාක සමාගම විඳිනු ඇත්ද ?,"[ එහි ARG1 , ප්‍රතිවිපාක ARG1 , සමාගම ARG0 , විඳිනු suffer.01 , ඇත්ද O , ? O ]","[ එහි ARG1 , ප්\u200dරතිවිපාක ARG1 , සමාගම ARG1 , විඳිනු O , ඇත්ද be.01 , ? O , . O ]"
අපේ තිරයේ සෑම දෙයක්ම තිබේ .,"[ අපේ ARG1 , තිරයේ ARG1 , සෑම ARG1 , දෙයක්ම ARG1 , තිබේ have.03 , . O ]","[ අපේ ARG1 , තිරයේ ARG1 , සෑම ARG1 , දෙයක්ම ARG1 , තිබේ be.02 , . O ]"
කොමසාරිස්වරයාට කරුණාකර අදහස් දැක්විය හැකිද ?,"[ කොමසාරිස්වරයාට ARG0 , කරුණාකර ARGM-DIS , අදහස් comment.01 , දැක්විය comment.01 , හැකිද ARGM-MOD , ? O ]","[ කොමසාරිස්වරයාට ARG0 , කරුණාකර ARGM-DIS , අදහස් comment.01 , දැක්විය comment.01 , හැකිද ARGM-MOD , ? O , . O ]"
මෙම වාක්‍ය ඛණ්ඩය සැබවින්ම අදහස් කරන්නේ කුමක්ද ?,"[ මෙම ARG0 , වාක්‍ය ARG0 , ඛණ්ඩය ARG0 , සැබවින්ම ARGM-ADV , අදහස් mean.01 , කරන්නේ mean.01 , කුමක්ද ARG1 , ? O ]","[ මෙම ARG1 , වාක්\u200dය ARG1 , ඛණ්ඩය ARG1 , සැබවින්ම ARGM-ADV , අදහස් mean.01 , කරන්නේ mean.01 , කුමක්ද ARG1 , ? O , . O ]"
ප්‍රතිචක්‍රීකරණය දැන් කළ යුතු දෙයයි .,"[ ප්‍රතිචක්‍රීකරණය O , දැන් O , කළ do.02 , යුතු O , දෙයයි ARG1 , . O ] , [ ප්‍රතිචක්‍රීකරණය ARG1 , දැන් ARGM-TMP , කළ ARG2 , යුතු ARG2 , දෙයයි ARG2 , . O ]",[ ]
ඔබ ඇත්තටම යෝජනා කරන්නේ කුමක්ද ?,"[ ඔබ ARG0 , ඇත්තටම ARGM-ADV , යෝජනා propose.01 , කරන්නේ propose.01 , කුමක්ද ARG1 , ? O ]","[ ඔබ ARG0 , ඇත්තටම ARGM-ADV , යෝජනා propose.01 , කරන්නේ propose.01 , කුමක්ද ARG1 , ? O , . O ]"
එය අර්බුදයේ බලපෑම් වලට දොස් පවරා ඇත .,"[ එය ARG0 , අර්බුදයේ ARG1 , බලපෑම් ARG1 , වලට ARG1 , දොස් blame.01 , පවරා blame.01 , ඇත O , . O ]","[ එය ARG1 , අර්බුදයේ O , බලපෑම් O , වලට O , දොස් O , පවරා O , ඇත have.01 , . O ]"
එය යුරෝපා සංගම් මට්ටමින් තීරණය කළ යුතුය .,"[ එය ARG1 , යුරෝපා ARG3 , සංගම් ARG3 , මට්ටමින් ARG3 , තීරණය decide.01 , කළ decide.01 , යුතුය ARGM-MOD , . O ]","[ එය ARG0 , යුරෝපා ARGM-LOC , සංගම් ARGM-LOC , මට්ටමින් ARGM-LOC , තීරණය decide.01 , කළ decide.01 , යුතුය ARGM-MOD , . O ]"
මෙය යුරෝපා සංගමයේ ව්‍යාපාරය නො වේ .,"[ මෙය ARG1 , යුරෝපා ARG2 , සංගමයේ ARG2 , ව්‍යාපාරය ARG2 , නො ARGM-NEG , වේ be.01 , . O ]","[ මෙය ARG1 , යුරෝපා ARG1 , සංගමයේ ARG1 , ව්\u200dයාපාරය O , නො ARGM-NEG , වේ be.01 , . O ]"
මේ හේතු නිසා අපි වැළකී සිටියෙමු .,"[ මේ ARGM-CAU , හේතු ARGM-CAU , නිසා ARGM-CAU , අපි ARG0 , වැළකී abstain.01 , සිටියෙමු abstain.01 , . O ]","[ මේ ARGM-CAU , හේතු ARGM-CAU , නිසා ARGM-CAU , අපි ARG0 , වැළකී abstain.01 , සිටියෙමු abstain.01 , . O ]"
මානුෂීය ආධාර සඳහා කිසිදු බාධාවක් නො විය යුතුය .,"[ මානුෂීය ARG1 , ආධාර ARG1 , සඳහා ARG1 , කිසිදු ARG1 , බාධාවක් ARG1 , නො O , විය be.02 , යුතුය ARGM-MOD , . O ]","[ මානුෂීය ARG1 , ආධාර ARG1 , සඳහා ARG1 , කිසිදු ARG1 , බාධාවක් hamper.01 , නො ARGM-NEG , විය O , යුතුය ARGM-MOD , . O ], [ මානුෂීය ARG1 , ආධාර ARG1 , සඳහා ARG1 , කිසිදු ARG1 , බාධාවක් O , නො ARGM-NEG , විය be.01 , යුතුය ARGM-MOD , . O ]"
එය එක් වරක් හානියක් නො වනු ඇත .,"[ එය ARG0 , එක් ARGM-TMP , වරක් ARGM-TMP , හානියක් hurt.01 , නො ARGM-NEG , වනු O , ඇත O , . O ]","[ එය ARG1 , එක් ARG1 , වරක් ARGM-TMP , හානියක් hurt.01 , නො ARGM-NEG , වනු O , ඇත O , . O ], [ එය ARG1 , එක් ARG1 , වරක් ARGM-TMP , හානියක් ARG2 , නො ARGM-NEG , වනු be.01 , ඇත ARGM-MOD , . O ]"
මෙම ඉසව්ව වසා ඇත .,"[ මෙම ARG1 , ඉසව්ව ARG1 , වසා ARG2 , ඇත be.01 , . O ]","[ මෙම ARG1 , ඉසව්ව ARG1 , වසා close.01 , ඇත O , . O ], [ මෙම ARG1 , ඉසව්ව ARG1 , වසා ARG2 , ඇත be.03 , . O ]"
අදහස් දෙකකින් අවසන් කිරීමට මම කැමැත්තෙමි .,"[ අදහස් ARG2 , දෙකකින් ARG2 , අවසන් finish.01 , කිරීමට finish.01 , මම ARG0 , කැමැත්තෙමි ARG0 , . O ] , [ අදහස් ARG1 , දෙකකින් ARG1 , අවසන් ARG1 , කිරීමට ARG1 , මම ARG0 , කැමැත්තෙමි like.02 , . O ] , [ අදහස් ARG1 , දෙකකින් ARG1 , අවසන් ARG1 , කිරීමට ARG1 , මම O , කැමැත්තෙමි O , . O ]","[ අදහස් ARG1 , දෙකකින් O , අවසන් O , කිරීමට O , මම ARG0 , කැමැත්තෙමි wish.01 , . O ]"
යුරෝපය තවමත් ඒ ගැන සිතන බව පෙනේ .,"[ යුරෝපය ARG0 , තවමත් O , ඒ ARG2 , ගැන ARG2 , සිතන think.01 , බව O , පෙනේ O , . O ] , [ යුරෝපය O , තවමත් O , ඒ O , ගැන O , සිතන O , බව be.03 , පෙනේ O , . O ] , [ යුරෝපය ARG1 , තවමත් ARGM-TMP , ඒ C-ARG1 , ගැන C-ARG1 , සිතන C-ARG1 , බව C-ARG1 , පෙනේ seem.01 , . O ]","[ යුරෝපය ARG0 , තවමත් ARGM-TMP , ඒ O , ගැන O , සිතන think.01 , බව O , පෙනේ O , . O ], [ යුරෝපය ARG0 , තවමත් ARGM-TMP , ඒ ARG2 , ගැන ARG2 , සිතන ARG2 , බව O , පෙනේ seem.01 , . O ]"
අනෙක් අය වෙනස් කොට සැලකීම හෝ ප්‍රතික්ෂේප කිරීම .,"[ අනෙක් O , අය O , වෙනස් discriminate.02 , කොට discriminate.02 , සැලකීම discriminate.02 , හෝ O , ප්‍රතික්ෂේප O , කිරීම O , . O ] , [ අනෙක් ARG1 , අය ARG1 , වෙනස් O , කොට O , සැලකීම O , හෝ O , ප්‍රතික්ෂේප disavow.01 , කිරීම disavow.01 , . O ] , [ අනෙක් O , අය O , වෙනස් ARG2 , කොට ARG2 , සැලකීම ARG2 , හෝ ARG2 , ප්‍රතික්ෂේප ARG2 , කිරීම ARG2 , . O ]",[ ]
අගය අඩු කිරීමේ විකල්ප ද්‍රව්‍ය 12 ක් සඳහා විශේෂයෙන්ම නිර්මාණය කරන ලදි .,"[ අගය ARG1 , අඩු ARG1 , කිරීමේ ARG1 , විකල්ප ARG1 , ද්‍රව්‍ය ARG3 , 12 ARG3 , ක් ARG3 , සඳහා ARG3 , විශේෂයෙන්ම ARGM-MNR , නිර්මාණය create.01 , කරන create.01 , ලදි create.01 , . O ]","[ අගය ARG1 , අඩු ARG1 , කිරීමේ ARG1 , විකල්ප ARG1 , ද්\u200dරව්\u200dය ARG1 , 12 ARG1 , ක් ARG1 , සඳහා ARG1 , විශේෂයෙන්ම ARG1 , නිර්මාණය create.01 , කරන create.01 , ලදි create.01 , . O ]"
මම ඔබට බොහෝ සාර්ථක වේවායි ප්‍රාර්ථනා කරමි .,"[ මම ARG0 , ඔබට ARG2 , බොහෝ ARG1 , සාර්ථක ARG1 , වේවායි ARG1 , ප්‍රාර්ථනා wish.01 , කරමි wish.01 , . O ]","[ මම ARG0 , ඔබට ARG0 , බොහෝ ARG1 , සාර්ථක ARG1 , වේවායි ARG1 , ප්\u200dරාර්ථනා wish.01 , කරමි O , . O ]"
කවුළුව විවෘතයි . ,"[ කවුළුව ARG1 , විවෘතයි ARG2 , . O  ]",[ ]
ප්‍රශ්නය කොතරම් දුෂ්කරදැයි මම දනිමි .,"[ ප්‍රශ්නය ARG1 , කොතරම් ARG1 , දුෂ්කරදැයි ARG1 , මම ARG0 , දනිමි know.01 , . O ] , [ ප්‍රශ්නය ARG1 , කොතරම් ARG2 , දුෂ්කරදැයි ARG2 , මම O , දනිමි O , . O ]","[ ප්\u200dරශ්නය ARG1 , කොතරම් ARG1 , දුෂ්කරදැයි ARG1 , මම ARG0 , දනිමි know.01 , . O ]"
ජාත්‍යන්තර නීතියට ගරුත්වයක් තිබිය යුතුයි .,"[ ජාත්‍යන්තර ARG1 , නීතියට ARG1 , ගරුත්වයක් ARG1 , තිබිය be.02 , යුතුයි ARGM-MOD , . O ]","[ ජාත්\u200dයන්තර ARG1 , නීතියට ARG1 , ගරුත්වයක් O , තිබිය be.02 , යුතුයි ARGM-MOD , . O ]"
රුසියාව යුරෝපයෙන් වෙන් කළ නොහැක .,"[ රුසියාව ARG1 , යුරෝපයෙන් ARG2 , වෙන් separate.01 , කළ separate.01 , නොහැක O , . O ]","[ රුසියාව ARG1 , යුරෝපයෙන් ARGM-ADV , වෙන් separate.01 , කළ separate.01 , නොහැක O , . O ]"
අපි ඒ ගැන හොඳින් සිතා බැලිය යුතුයි .,"[ අපි ARG0 , ඒ ARG2 , ගැන ARG2 , හොඳින් ARGM-MNR , සිතා think.01 , බැලිය think.01 , යුතුයි ARGM-MOD , . O ]","[ අපි ARG0 , ඒ ARG2 , ගැන ARG2 , හොඳින් ARG2 , සිතා think.01 , බැලිය think.01 , යුතුයි ARGM-MOD , . O ]"
එය වියදම් කරන්නේ කෙසේද ?,"[ එය ARG3 , වියදම් spend.01 , කරන්නේ spend.01 , කෙසේද ARGM-MNR , ? O ]","[ එය ARG1 , වියදම් cost.01 , කරන්නේ O , කෙසේද ARGM-MNR , ? O , . O ]"
යුරෝපයට වැඩි සහයෝගයක් පෙන්විය යුතුය .,"[ යුරෝපයට ARG0 , වැඩි ARG1 , සහයෝගයක් ARG1 , පෙන්විය show.01 , යුතුය O , . O ] , [ යුරෝපයට ARG0 , වැඩි ARG1 , සහයෝගයක් ARG1 , පෙන්විය ARG1 , යුතුය need.01 , . O ]","[ යුරෝපයට ARG0 , වැඩි ARG1 , සහයෝගයක් ARG1 , පෙන්විය show.01 , යුතුය ARGM-MOD , . O ]"
අපට පූර්වාදර්ශයක් තිබේ .,"[ අපට ARG0 , පූර්වාදර්ශයක් ARG1 , තිබේ have.03 , . O ]","[ අපට ARG0 , පූර්වාදර්ශයක් ARG1 , තිබේ be.02 , . O ]"
එක් උදාහරණයක් වන්නේ දක්ෂිණ කොරිඩෝවයි .,"[ එක් ARG1 , උදාහරණයක් ARG1 , වන්නේ be.01 , දක්ෂිණ ARG2 , කොරිඩෝවයි ARG2 , . O ]","[ එක් ARG1 , උදාහරණයක් ARG1 , වන්නේ be.01 , දක්ෂිණ ARG2 , කොරිඩෝවයි ARG2 , . O ]"
